,COUNTY,STATE,COUNTYFIPS
1583,MONROE,FL,12087
1585,MONROE,IN,18105
1587,MONROE,MI,26115
1590,MONROE,PA,42089
1591,MONROE,TN,47123
1592,MONROE,WI,55081
1593,MONTAGUE,TX,48337
1603,MONTGOMERY,KY,47125
1604,MONTGOMERY,MD,24031
1608,MONTGOMERY,OH,39113
1609,MONTGOMERY,PA,42091
1610,MONTGOMERY,TN,47125
1611,MONTGOMERY,TX,48339
1612,MONTGOMERY,VA,51121
1616,MOORE,NC,37125
1620,MORGAN,GA,13211
1627,MORRIS,NJ,34027
1630,MORTON,KS,20129
1634,MUHLENBERG,KY,21177
1635,MULTNOMAH,OR,41051
1636,MURRAY,GA,13213
1640,MUSCOGEE,GA,13215
1642,MUSKINGUM,OH,39119
1649,NASH,NC,37127
1650,NASSAU,FL,12089
1655,NAVARRO,TX,48349
1664,NEW CASTLE,DE,10003
1665,NEW HANOVER,NC,37129
1670,NEWAYGO,MI,26123
1672,NEWPORT,RI,44005
1673,NEWPORT NEWS,VA,51700
1674,NEWTON,GA,13217
1675,NEWTON,MO,29145
1677,NEZ PERCE,ID,16069
1683,NOBLE,IN,18113
1689,NORFOLK,MA,25021
1690,NORFOLK,VA,51710
1693,NORTHAMPTON,PA,42095
1695,NORTHUMBERLAND,PA,42097
1706,NUECES,TX,48355
1709,OAKLAND,MI,26125
1710,OBION,TN,47131
1711,OCEAN,NJ,34029
1716,OGEMAW,MI,26129
1717,OGLE,IL,17141
1720,OKALOOSA,FL,12091
1722,OKEECHOBEE,FL,12093
1724,OKLAHOMA,OK,40109
1727,OLDHAM,KY,21185
1728,OLMSTED,MN,27109
1733,ONSLOW,NC,37133
1737,ORANGE,FL,12095
1739,ORANGE,NC,37135
1742,ORANGE,VT,50017
1743,ORANGEBURG,SC,45075
1744,ORLEANS,LA,22071
1746,ORLEANS,VT,50019
1750,OSCEOLA,FL,12097
1752,OSCEOLA,MI,26133
1757,OTSEGO,MI,26137
1760,OTTAWA,MI,26139
1761,OTTAWA,OH,39123
1763,OTTER TAIL,MN,27111
1766,OUTAGAMIE,WI,55087
1767,OVERTON,TN,47133
1769,OXFORD,ME,23017
1770,OZAUKEE,WI,55089
1774,PALM BEACH,FL,12099
1781,PARKER,TX,48367
1783,PASCO,FL,12101
1784,PASQUOTANK,NC,37139
1785,PASSAIC,NJ,34031
1787,PAULDING,GA,13223
1792,PAYNE,OK,40119
1793,PEACH,GA,13225
1794,PEARL RIVER,MS,28109
1797,PEMISCOT,MO,29155
1799,PENDER,NC,37141
1802,PENOBSCOT,ME,23019
1807,PERRY,KY,21193
1813,PETERSBURG,VA,51730
1814,PETTIS,MO,29159
1815,PHELPS,MO,29161
1817,PHILADELPHI,PA,42101
1818,PHILADELPHIA,PA,42101
1826,PICKENS,SC,45077
1829,PIERCE,WA,53053
1839,PINELLAS,FL,12103
1841,PISCATAQUIS,ME,23021
1843,PITT,NC,37147
1844,PITTSBURG,OK,40121
1846,PLATTE,MO,29165
1850,PLYMOUTH,MA,25023
1853,POINTE COUPEE,LA,22077
1855,POLK,FL,12105
1857,POLK,IA,19153
1866,PONCE,PR,72113
1872,PORTAGE,OH,39133
1874,PORTER,IN,18127
1875,PORTSMOUTH,VA,51740
1878,POTTAWATTAMIE,IA,19155
1879,POTTER,PA,42105
1881,POTTER,TX,48375
1884,POWESHIEK,IA,19157
1889,PRESTON,WV,54077
1892,PRINCE GEORGE'S,MD,24033
1893,PRINCE WILLIAM,VA,51153
1894,PROVIDENCE,RI,44007
1900,PULASKI,KY,21199
1901,PULASKI,MO,29169
1902,PULASKI,VA,51155
1904,PUTNAM,FL,12107
1906,PUTNAM,IN,18133
1915,RACINE,WI,55101
1919,RANDALL,TX,48381
1924,RANDOLPH,IN,18135
1926,RANDOLPH,NC,37151
1927,RANDOLPH,WV,54083
1928,RANKIN,MS,28121
1938,REEVES,TX,48389
1940,RENO,KS,20155
1947,RICE,MN,27131
1952,RICHLAND,OH,39139
1953,RICHLAND,SC,45079
1955,RICHMOND,GA,13245
1956,RICHMOND,NC,37153
1958,RICHMOND CITY,VA,51760
1959,RILEY,KS,20161
1964,RIPLEY,IN,18137
1967,ROANE,TN,47145
1970,ROANOKE CITY,VA,51770
1972,ROBERTSON,TN,47147
1976,ROCK ISLAND,IL,17161
1977,ROCKCASTLE,KY,21203
1978,ROCKDALE,GA,13247
1979,ROCKINGHAM,NC,37157
1980,ROCKINGHAM,NH,33015
1981,ROCKINGHAM,VA,51165
1983,ROCKWALL,TX,48397
1985,ROGERS,OK,40131
1994,ROWAN,KY,21205
1995,ROWAN,NC,37159
2000,RUSK,WI,55107
2005,RUTHERFORD,NC,37161
2006,RUTHERFORD,TN,47149
2007,RUTHERFORD,TN,47179
2008,RUTLAND,VT,50021
2015,SAINT CROIX,WI,55109
2016,SALEM,NJ,34033
2020,SALINE,KS,20169
2023,SALT LAKE,UT,49035
2024,SAMPSON,NC,37163
2033,SAN JUAN,PR,72127
2041,SANDOVAL,NM,35043
2042,SANDUSKY,OH,39143
2050,SANTA FE,NM,35049
2051,SANTA ROSA,FL,12113
2052,SARASOTA,FL,12115
2054,SARPY,NE,31153
2064,SCHUYLKILL,PA,42107
2065,SCIOTO,OH,39145
2067,SCOTLAND,NC,37165
2069,SCOTT,IA,19163
2072,SCOTT,KY,21209
2073,SCOTT,MN,27139
2074,SCOTT,MO,29201
2082,SEDGWICK,KS,20173
2083,SEMINOLE,FL,12117
2085,SEMINOLE,OK,40133
2086,SENECA,OH,39147
2089,SEVIER,TN,47155
2100,SHELBY,IL,17173
2103,SHELBY,OH,39149
2104,SHELBY,TN,47157
2106,SHENANDOAH,VA,51171
2107,SHERBURNE,MN,27141
2113,SHIAWASSEE,MI,26155
2121,SIOUX,IA,19167
2127,SMITH,MS,28129
2128,SMITH,TX,48423
2129,SMYTH,VA,51173
2130,SNOHOMISH,WA,53061
2133,SOMERSET,MD,24039
2134,SOMERSET,ME,23025
2135,SOMERSET,NJ,34035
2136,SOMERSET,PA,42111
2139,SPALDING,GA,13255
2140,SPARTANBURG,SC,45083
2141,SPOKANE,WA,53063
2142,SPOTSYLVANIA,VA,51177
2143,ST JOSEPH,IN,18141
2145,ST. CHARLES,LA,22089
2146,ST. CHARLES,MO,29183
2148,ST. CLAIR,IL,17163
2149,ST. CLAIR,MI,26147
2151,ST. CROIX,WI,55109
2156,ST. JOHN THE BAPTIST,LA,22095
2157,ST. JOHNS,FL,12109
2158,ST. JOSEPH,IN,18141
2159,ST. JOSEPH,MI,26149
2162,ST. LOUIS,MN,27137
2163,ST. LOUIS,MO,29189
2164,ST. LOUIS CITY,MO,29510
2165,ST. LUCIE,FL,12111
2166,ST. MARTIN,LA,22099
2167,ST. MARY,LA,22101
2168,ST. MARY'S,MD,24037
2169,ST. TAMMANY,LA,22103
2171,STAFFORD,VA,51179
2173,STANLY,NC,37167
2176,STARK,OH,39151
2177,STARKE,IN,18149
2178,STARR,TX,48427
2179,STAUNTON,VA,51790
2181,STEARNS,MN,27145
2186,STEUBEN,IN,18151
2194,STOKES,NC,37169
2198,STORY,IA,19169
2199,STRAFFORD,NH,33017
2200,STUTSMAN,ND,38093
2201,SUFFOLK,MA,25025
2203,SUFFOLK,VA,51800
2206,SULLIVAN,NH,33019
2208,SULLIVAN,TN,47163
2209,SUMMERS,WV,54089
2211,SUMMIT,OH,39153
2212,SUMMIT,UT,49043
2214,SUMNER,TN,47165
2216,SUMTER,FL,12119
2218,SUMTER,SC,45085
2220,SURRY,NC,37171
2221,SUSQUEHANNA,PA,42115
2222,SUSSEX,DE,10005
2223,SUSSEX,NJ,34037
2232,TALBOT,MD,24041
2236,TANEY,MO,29213
2237,TANGIPAHOA,LA,22105
2238,TARRANT,TX,48439
2244,TAYLOR,WI,55119
2246,TAZEWELL,IL,17179
2254,TETON,WY,56039
2256,TEXAS,OK,40139
2261,THURSTON,WA,53067
2265,TIOGA,PA,42117
2266,TIPPAH,MS,28139
