	AreaName	Total area in square miles 1990	Total area in square miles 2000	Land area in square miles 1980	Land area in square miles 1990	Land area in square miles 2000	Land area in square miles 2010	Water area in square miles 1990	Water area in square miles 2000	county	state
1669	Rosebud, MT	5026.96	5026.94	5018.73	5012.39	5012.37	5010.4	14.57	14.57	Rosebud	 MT
1670	Sanders, MT	2790.18	2790.03	2748.59	2762.29	2762.17	2760.52	27.89	27.86	Sanders	 MT
1671	Sheridan, MT	1706.38	1706.3	1680.69	1676.65	1676.58	1677.08	29.73	29.73	Sheridan	 MT
1672	Silver Bow, MT	718.99	718.97	718.39	718.33	718.31	718.48	0.66	0.66	Silver Bow	 MT
1673	Stillwater, MT	1804.71	1804.61	1793.0	1794.73	1795.09	1795.35	9.98	9.52	Stillwater	 MT
1674	Sweet Grass, MT	1862.1	1862.0	1903.46	1855.18	1855.08	1855.21	6.92	6.92	Sweet Grass	 MT
1675	Teton, MT	2292.57	2292.58	2275.28	2272.6	2272.61	2272.38	19.97	19.97	Teton	 MT
1676	Toole, MT	1945.82	1945.86	1930.71	1910.91	1910.95	1915.65	34.91	34.91	Toole	 MT
1677	Treasure, MT	984.14	984.11	975.22	978.9	978.86	977.4	5.24	5.24	Treasure	 MT
1678	Valley, MT	5062.08	5061.98	4936.02	4920.94	4921.0	4925.82	141.14	140.98	Valley	 MT
1679	Wheatland, MT	1428.37	1428.29	1419.4	1423.18	1423.09	1423.2	5.19	5.19	Wheatland	 MT
1680	Wibaux, MT	890.12	890.09	888.4	889.34	889.31	889.27	0.78	0.78	Wibaux	 MT
1681	Yellowstone, MT	2649.11	2649.05	2624.1	2635.21	2635.15	2633.29	13.9	13.9	Yellowstone	 MT
1682	Yellowstone National Park, MT	246.12	0.0	244.95	245.39	0.0	0.0	0.73	0.0	Yellowstone National Park	 MT
1683	NEBRASKA	77358.4	77353.73	76643.94	76877.73	76872.41	76824.17	480.67	481.31		
1684	Adams, NE	564.19	564.16	563.85	563.43	563.41	563.27	0.76	0.76	Adams	 NE
1685	Antelope, NE	858.49	858.43	858.53	857.13	857.06	857.22	1.36	1.37	Antelope	 NE
1686	Arthur, NE	718.36	718.32	710.55	715.41	715.37	715.36	2.95	2.95	Arthur	 NE
1687	Banner, NE	746.43	746.37	747.2	746.28	746.22	746.11	0.15	0.15	Banner	 NE
1688	Blaine, NE	714.39	714.34	714.43	710.8	710.74	710.87	3.59	3.59	Blaine	 NE
1689	Boone, NE	687.3	687.25	687.41	686.74	686.69	686.55	0.56	0.56	Boone	 NE
1690	Box Butte, NE	1077.92	1077.84	1077.0	1075.38	1075.29	1075.29	2.54	2.54	Box Butte	 NE
1691	Boyd, NE	544.64	544.59	532.29	540.1	540.05	539.94	4.54	4.54	Boyd	 NE
1692	Brown, NE	1225.15	1225.08	1213.85	1221.35	1221.28	1221.33	3.8	3.8	Brown	 NE
1693	Buffalo, NE	975.31	975.27	945.41	968.07	967.99	968.11	7.24	7.28	Buffalo	 NE
1694	Burt, NE	497.12	497.1	485.91	492.79	492.77	491.58	4.33	4.33	Burt	 NE
1695	Butler, NE	584.43	584.41	584.2	583.61	583.59	584.91	0.82	0.82	Butler	 NE
1696	Cass, NE	566.27	566.21	557.04	559.31	559.18	557.45	6.96	7.03	Cass	 NE
1697	Cedar, NE	745.86	745.81	740.04	740.27	740.23	740.31	5.59	5.59	Cedar	 NE
1698	Chase, NE	897.67	897.63	893.52	894.53	894.5	894.42	3.14	3.14	Chase	 NE
1699	Cherry, NE	6009.87	6009.54	5961.42	5960.75	5960.52	5960.42	49.12	49.02	Cherry	 NE
1700	Cheyenne, NE	1196.55	1196.45	1195.89	1196.44	1196.34	1196.29	0.11	0.11	Cheyenne	 NE
1701	Clay, NE	573.56	573.53	573.92	573.07	573.03	572.29	0.49	0.49	Clay	 NE
1702	Colfax, NE	418.61	418.58	410.34	413.17	413.14	411.66	5.44	5.44	Colfax	 NE
1703	Cuming, NE	574.58	574.54	574.57	572.04	572.0	570.62	2.54	2.54	Cuming	 NE
1704	Custer, NE	2576.21	2576.08	2571.28	2575.83	2575.71	2575.52	0.38	0.37	Custer	 NE
1705	Dakota, NE	267.41	267.39	257.6	263.97	263.8	264.26	3.44	3.6	Dakota	 NE
1706	Dawes, NE	1400.9	1400.86	1397.29	1396.28	1396.24	1396.46	4.62	4.62	Dawes	 NE
1707	Dawson, NE	1019.34	1019.3	981.92	1012.94	1012.92	1013.1	6.4	6.37	Dawson	 NE
1708	Deuel, NE	440.83	440.79	437.27	439.93	439.89	439.85	0.9	0.9	Deuel	 NE
1709	Dixon, NE	482.75	482.72	474.21	476.42	476.39	476.23	6.33	6.33	Dixon	 NE
1710	Dodge, NE	543.98	543.92	534.03	534.48	534.39	528.71	9.5	9.53	Dodge	 NE
1711	Douglas, NE	339.65	339.6	332.72	331.04	330.98	328.46	8.61	8.62	Douglas	 NE
1712	Dundy, NE	920.84	920.79	920.22	919.91	919.86	919.68	0.93	0.93	Dundy	 NE
1713	Fillmore, NE	576.66	576.62	576.45	576.5	576.46	575.37	0.16	0.16	Fillmore	 NE
1714	Franklin, NE	576.13	576.11	576.1	575.94	575.92	575.82	0.19	0.19	Franklin	 NE
1715	Frontier, NE	980.11	980.06	975.63	974.6	974.55	974.59	5.51	5.51	Frontier	 NE
1716	Furnas, NE	720.53	720.51	720.92	718.11	718.09	719.13	2.42	2.42	Furnas	 NE
